data-Bird_data-Select_bird,data-Bird_data-Count,PARENT_KEY,KEY
FINI,2,uuid:e9639978-938b-491c-9a93-39b7c0b2aa20,uuid:e9639978-938b-491c-9a93-39b7c0b2aa20/Bird_data[4]
ZOPA,2,uuid:e9639978-938b-491c-9a93-39b7c0b2aa20,uuid:e9639978-938b-491c-9a93-39b7c0b2aa20/Bird_data[5]
EUAL,2,uuid:dc048902-fbd8-49e2-bbcd-b442c060838f,uuid:dc048902-fbd8-49e2-bbcd-b442c060838f/Bird_data[1]
CUCE,4,uuid:dc048902-fbd8-49e2-bbcd-b442c060838f,uuid:dc048902-fbd8-49e2-bbcd-b442c060838f/Bird_data[2]
FINI,2,uuid:dc048902-fbd8-49e2-bbcd-b442c060838f,uuid:dc048902-fbd8-49e2-bbcd-b442c060838f/Bird_data[3]
SHAL,1,uuid:dc048902-fbd8-49e2-bbcd-b442c060838f,uuid:dc048902-fbd8-49e2-bbcd-b442c060838f/Bird_data[4]
CUCE,2,uuid:5d007f77-f6e7-4402-8715-5bbd3b1d9380,uuid:5d007f77-f6e7-4402-8715-5bbd3b1d9380/Bird_data[1]
SHAL,1,uuid:5d007f77-f6e7-4402-8715-5bbd3b1d9380,uuid:5d007f77-f6e7-4402-8715-5bbd3b1d9380/Bird_data[2]
EUAL,2,uuid:5d007f77-f6e7-4402-8715-5bbd3b1d9380,uuid:5d007f77-f6e7-4402-8715-5bbd3b1d9380/Bird_data[3]
FINI,1,uuid:5d007f77-f6e7-4402-8715-5bbd3b1d9380,uuid:5d007f77-f6e7-4402-8715-5bbd3b1d9380/Bird_data[4]
MOFA,1,uuid:5d007f77-f6e7-4402-8715-5bbd3b1d9380,uuid:5d007f77-f6e7-4402-8715-5bbd3b1d9380/Bird_data[5]
SHAL,1,uuid:681b1ea5-a6c3-4cbd-afb7-fbe81a331c74,uuid:681b1ea5-a6c3-4cbd-afb7-fbe81a331c74/Bird_data[1]
MOFA,2,uuid:681b1ea5-a6c3-4cbd-afb7-fbe81a331c74,uuid:681b1ea5-a6c3-4cbd-afb7-fbe81a331c74/Bird_data[2]
CUCE,3,uuid:681b1ea5-a6c3-4cbd-afb7-fbe81a331c74,uuid:681b1ea5-a6c3-4cbd-afb7-fbe81a331c74/Bird_data[3]
FINI,1,uuid:681b1ea5-a6c3-4cbd-afb7-fbe81a331c74,uuid:681b1ea5-a6c3-4cbd-afb7-fbe81a331c74/Bird_data[4]
CUCE,2,uuid:48b8eb95-a146-4b3d-8e6a-9eba4eba76d4,uuid:48b8eb95-a146-4b3d-8e6a-9eba4eba76d4/Bird_data[1]
MOFA,1,uuid:48b8eb95-a146-4b3d-8e6a-9eba4eba76d4,uuid:48b8eb95-a146-4b3d-8e6a-9eba4eba76d4/Bird_data[2]
POHO,1,uuid:48b8eb95-a146-4b3d-8e6a-9eba4eba76d4,uuid:48b8eb95-a146-4b3d-8e6a-9eba4eba76d4/Bird_data[3]
EUAL,1,uuid:48b8eb95-a146-4b3d-8e6a-9eba4eba76d4,uuid:48b8eb95-a146-4b3d-8e6a-9eba4eba76d4/Bird_data[4]
ZOPA,5,uuid:3ff77ee1-a311-4e63-950d-27cc4101764b,uuid:3ff77ee1-a311-4e63-950d-27cc4101764b/Bird_data[1]
FINI,2,uuid:3ff77ee1-a311-4e63-950d-27cc4101764b,uuid:3ff77ee1-a311-4e63-950d-27cc4101764b/Bird_data[2]
EUAL,1,uuid:3ff77ee1-a311-4e63-950d-27cc4101764b,uuid:3ff77ee1-a311-4e63-950d-27cc4101764b/Bird_data[3]
MOFA,1,uuid:3ff77ee1-a311-4e63-950d-27cc4101764b,uuid:3ff77ee1-a311-4e63-950d-27cc4101764b/Bird_data[4]
ZOPA,6,uuid:18f6a90c-e238-46dc-a829-d598a41ae780,uuid:18f6a90c-e238-46dc-a829-d598a41ae780/Bird_data[1]
SHAL,1,uuid:18f6a90c-e238-46dc-a829-d598a41ae780,uuid:18f6a90c-e238-46dc-a829-d598a41ae780/Bird_data[2]
FINI,1,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae/Bird_data[1]
MOFA,2,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae/Bird_data[2]
POHO,2,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae/Bird_data[3]
PYJO,3,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae/Bird_data[4]
ZOPA,4,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae/Bird_data[5]
FINI,2,uuid:9a223b18-e2d2-49e6-952a-84f5deaeabfe,uuid:9a223b18-e2d2-49e6-952a-84f5deaeabfe/Bird_data[1]
ZOPA,4,uuid:9a223b18-e2d2-49e6-952a-84f5deaeabfe,uuid:9a223b18-e2d2-49e6-952a-84f5deaeabfe/Bird_data[2]
EUAL,3,uuid:9a223b18-e2d2-49e6-952a-84f5deaeabfe,uuid:9a223b18-e2d2-49e6-952a-84f5deaeabfe/Bird_data[3]
SHAL,2,uuid:9a223b18-e2d2-49e6-952a-84f5deaeabfe,uuid:9a223b18-e2d2-49e6-952a-84f5deaeabfe/Bird_data[4]
MOFA,2,uuid:9a223b18-e2d2-49e6-952a-84f5deaeabfe,uuid:9a223b18-e2d2-49e6-952a-84f5deaeabfe/Bird_data[5]
MOFA,4,uuid:855d9069-9c6e-472c-a24f-4ffec3d9e0a5,uuid:855d9069-9c6e-472c-a24f-4ffec3d9e0a5/Bird_data[1]
SHAL,2,uuid:855d9069-9c6e-472c-a24f-4ffec3d9e0a5,uuid:855d9069-9c6e-472c-a24f-4ffec3d9e0a5/Bird_data[2]
